SPY,,,GOVT,,,EEMV,,,CME,,,BR,,,CBOE,,,ICE,,,ACN,,
Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,
11/1/2017,247.946106,,11/1/2017,24.164009,,11/1/2017,56.392685,,11/1/2017,127.555496,,11/1/2017,83.719643,,11/1/2017,110.115318,,11/1/2017,64.379814,,11/1/2017,138.676666,
11/30/2017,255.187408,,11/30/2017,24.115952,,11/30/2017,56.231209,,11/30/2017,140.110519,,11/30/2017,87.439659,,11/30/2017,120.944221,,11/30/2017,69.464478,,11/30/2017,143.575348,
12/1/2017,254.657806,,12/1/2017,24.207392,,12/1/2017,56.202713,,12/1/2017,141.281723,,12/1/2017,87.313705,,12/1/2017,121.747711,,12/1/2017,70.067261,,12/1/2017,142.178513,
12/29/2017,258.282349,,12/29/2017,24.174843,,12/29/2017,58.676247,,12/29/2017,140.741776,,12/29/2017,88.109062,,12/29/2017,122.080849,,12/29/2017,68.987297,,12/29/2017,148.503143,
1/2/2018,260.130951,,1/2/2018,24.107365,,1/2/2018,59.516415,,1/2/2018,139.527573,,1/2/2018,88.323051,,1/2/2018,120.277916,,1/2/2018,68.293121,,1/2/2018,149.230682,
1/31/2018,272.838898,,1/31/2018,23.85675,,1/31/2018,62.259018,,1/31/2018,147.901718,,1/31/2018,93.780014,,1/31/2018,131.683487,,1/31/2018,72.194183,,1/31/2018,155.885147,
2/1/2018,272.529144,,2/1/2018,23.766972,,2/1/2018,61.766506,,2/1/2018,153.134369,,2/1/2018,93.55629,,2/1/2018,133.809784,,2/1/2018,73.132805,,2/1/2018,155.652328,
2/28/2018,262.918365,,2/28/2018,23.689745,,2/28/2018,59.110817,,2/28/2018,160.12085,,2/28/2018,97.641724,,2/28/2018,109.754204,,2/28/2018,71.451141,,2/28/2018,156.185867,
3/1/2018,259.095276,,3/1/2018,23.762245,,3/1/2018,58.985279,,3/1/2018,156.362625,,3/1/2018,96.776001,,3/1/2018,109.380966,,3/1/2018,70.453865,,3/1/2018,151.471466,
3/29/2018,255.711655,,3/29/2018,23.868591,,3/29/2018,60.202061,,3/29/2018,156.511414,,3/29/2018,107.058342,,3/29/2018,112.072266,,3/29/2018,71.13105,,3/29/2018,148.900864,
4/2/2018,250.192169,,4/2/2018,23.915064,,4/2/2018,59.448814,,4/2/2018,152.602005,,4/2/2018,104.930649,,4/2/2018,110.481056,,4/2/2018,69.738251,,4/2/2018,143.546249,
4/30/2018,257.033203,,4/30/2018,23.682686,,4/30/2018,59.043217,,4/30/2018,152.582657,,4/30/2018,104.637833,,4/30/2018,104.882347,,4/30/2018,71.072212,,4/30/2018,147.96402,
5/1/2018,257.489929,,5/1/2018,23.652626,,5/1/2018,58.888702,,5/1/2018,151.440796,,5/1/2018,105.41864,,5/1/2018,105.383293,,5/1/2018,70.954491,,5/1/2018,148.668625,
5/31/2018,263.281403,,5/31/2018,23.865976,,5/31/2018,58.801788,,5/31/2018,157.633896,,5/31/2018,112.68013,,5/31/2018,96.088203,,5/31/2018,69.532272,,5/31/2018,152.406891,
6/1/2018,265.866272,,6/1/2018,23.810606,,6/1/2018,59.20739,,6/1/2018,162.114227,,6/1/2018,113.490227,,6/1/2018,96.935242,,6/1/2018,70.728905,,6/1/2018,155.489456,
6/29/2018,264.795532,,6/29/2018,23.927177,,6/29/2018,56.338211,,6/29/2018,159.263351,,6/29/2018,112.693924,,6/29/2018,102.500008,,6/29/2018,72.371567,,6/29/2018,160.088882,
7/2/2018,265.361694,,7/2/2018,23.887283,,7/2/2018,55.890156,,7/2/2018,159.33136,,7/2/2018,113.487007,,7/2/2018,102.184822,,7/2/2018,72.548691,,7/2/2018,159.736588,
7/31/2018,274.605255,,7/31/2018,23.809443,,7/31/2018,58.325245,,7/31/2018,154.599701,,7/31/2018,110.618248,,7/31/2018,95.664696,,7/31/2018,72.725807,,7/31/2018,155.920044,
8/1/2018,274.146515,,8/1/2018,23.763636,,8/1/2018,57.97459,,8/1/2018,156.84407,,8/1/2018,110.207024,,8/1/2018,94.906311,,8/1/2018,72.489647,,8/1/2018,156.291916,
8/31/2018,283.370636,,8/31/2018,23.98782,,8/31/2018,57.633675,,8/31/2018,169.766251,,8/31/2018,132.315002,,8/31/2018,99.585693,,8/31/2018,75.008629,,8/31/2018,165.451599,
9/4/2018,282.882599,,9/4/2018,23.951693,,9/4/2018,56.942112,,9/4/2018,172.02034,,9/4/2018,133.764069,,9/4/2018,102.757019,,9/4/2018,76.100845,,9/4/2018,165.872391,
9/28/2018,285.05545,,9/28/2018,23.766172,,9/28/2018,57.760303,,9/28/2018,166.044586,,9/28/2018,129.64827,,9/28/2018,94.804001,,9/28/2018,73.917221,,9/28/2018,166.557404,
10/1/2018,286.045776,,10/1/2018,23.718248,,10/1/2018,57.770046,,10/1/2018,169.985718,,10/1/2018,127.801071,,10/1/2018,95.861107,,10/1/2018,74.272545,,10/1/2018,169.796555,
10/31/2018,265.356873,,10/31/2018,23.669344,,10/31/2018,53.552471,,10/31/2018,178.755707,,10/31/2018,114.900108,,10/31/2018,111.490517,,10/31/2018,76.039284,,10/31/2018,155.656433,
11/1/2018,268.180756,,11/1/2018,23.69286,,11/1/2018,54.594688,,11/1/2018,179.253204,,11/1/2018,114.674118,,11/1/2018,109.168846,,11/1/2018,74.874611,,11/1/2018,156.604462,
11/30/2018,270.279083,,11/30/2018,23.879032,,11/30/2018,55.870674,,11/30/2018,185.428299,,11/30/2018,104.023209,,11/30/2018,106.634689,,11/30/2018,80.658501,,11/30/2018,162.470474,
12/3/2018,273.85791,,12/3/2018,23.902592,,12/3/2018,56.338211,,12/3/2018,183.506531,,12/3/2018,102.824486,,12/3/2018,104.16748,,12/3/2018,80.076157,,12/3/2018,164.741821,
12/31/2018,246.481415,,12/31/2018,24.236502,,12/31/2018,55.265369,,12/31/2018,185.983551,,12/31/2018,95.031967,,12/31/2018,96.934319,,12/31/2018,74.580978,,12/31/2018,139.253342,
1/2/2019,246.737808,,1/2/2019,24.433147,,1/2/2019,55.146671,,1/2/2019,183.472427,,1/2/2019,93.876778,,1/2/2019,95.012077,,1/2/2019,74.580978,,1/2/2019,138.838577,
1/31/2019,266.216064,,1/31/2019,24.482306,,1/31/2019,58.737389,,1/31/2019,180.2099,,1/31/2019,99.554008,,1/31/2019,92.416061,,1/31/2019,75.996758,,1/31/2019,151.637146,
2/1/2019,266.344299,,2/1/2019,24.419268,,2/1/2019,58.499985,,2/1/2019,181.356735,,2/1/2019,101.676804,,2/1/2019,93.188934,,2/1/2019,76.749207,,2/1/2019,152.812317,
2/28/2019,274.845673,,2/28/2019,24.419268,,2/28/2019,58.114204,,2/28/2019,179.844101,,2/28/2019,99.968697,,2/28/2019,95.345833,,2/28/2019,76.382881,,2/28/2019,159.369583,
3/1/2019,276.561798,,3/1/2019,24.352169,,3/1/2019,58.21312,,3/1/2019,180.516373,,3/1/2019,100.205658,,3/1/2019,95.634125,,3/1/2019,76.422485,,3/1/2019,162.154465,
3/29/2019,279.820557,,3/29/2019,24.904728,,3/29/2019,58.628578,,3/29/2019,163.414276,,3/29/2019,102.859917,,3/29/2019,94.878601,,3/29/2019,75.663925,,3/29/2019,173.827209,
4/1/2019,283.138977,,4/1/2019,24.762381,,4/1/2019,58.955006,,4/1/2019,165.370331,,4/1/2019,104.149506,,4/1/2019,96.260429,,4/1/2019,76.518539,,4/1/2019,174.123489,
4/30/2019,291.251892,,4/30/2019,24.801926,,4/30/2019,59.271542,,4/30/2019,177.632843,,4/30/2019,117.184303,,4/30/2019,101.012306,,4/30/2019,80.841339,,4/30/2019,181.888519,
